experiment,features,auc
all,85,0.8739411042365361
all_without_elo,79,0.8707935506762446
all_without_inactivity,81,0.8334616561057903
inactivity_only,6,0.7814297188375143
elo_only,6,0.7211341210699829
ranking_only,6,0.6919849126959071
winrate_only,4,0.6494477140506432
service_only,20,0.6299114990281829
return_only,8,0.5599886120033513
