tennis_data_tournament,tml_tournament,overlap,td_matches
Garanti Koza Sofia Open,Sofia,74,80
Claro Open Colombia,Bogota,73,79
bet-at-home Open,Hamburg,73,78
Adelaide International,Adelaide,72,107
Farmers Classic,Los Angeles,72,81
AIG Japan Open Tennis Championships,Tokyo,71,94
Hong Kong Tennis Open,Hong Kong,71,81
Millenium Estoril Open,Estoril,70,81
ATP Vegeta Croatia Open,Umag,70,78
Crédit Agricole Suisse Open Gstaad,Gstaad,69,79
Tiriac Open,Bucharest,65,81
President's Cup,Tashkent,62,62
Campionati Internazional d'Italia,Rome Masters,60,63
Qatar Open,Doha,60,62
Indian Wells TMS,Indian Wells Masters,57,63
Marseille Open,Marseille,56,62
Milan Indoors,Milan,56,62
Astana Open,Astana,54,110
New York Open,New York,54,81
Rogers Cup,Canada Masters,54,63
Adelaide International 1,Adelaide-1,54,58
Murray River Open,Murray River Open,54,55
CAM Open Comunidad Valenciana,Valencia,53,62
Mallorca Open,Mallorca,53,62
Kingfisher Airlines Tennis Open,Mumbai,52,62
Siebel Open,San Jose,51,62
Sybase Open,San Jose,51,62
Ricoh Open,'s-Hertogenbosch,51,54
Gstaad Open,Gstaad,50,62
Hamburg Open,Hamburg,50,62
Konzum Croatia Open,Umag,50,54
Citrix Tennis Championships,Delray Beach,49,62
Adelaide International 2,Adelaide-2,49,54
Almaty Open,Almaty,49,53
Atlanta Tennis Championships,Atlanta,48,54
Belgrade Open,Belgrade,48,54
Proton Malaysian Open,Kuala Lumpur,48,54
Salem Open,Hong Kong,47,62
Great Ocean Road Open,Great Ocean Road Open,47,55
Queens Club,Queen's Club,47,55
Gazprom Hungarian Open,Budapest,47,51
Open Sabadell Atlántico 2008,Barcelona,46,55
U.S. National Indoor Tennis Championships,Memphis,45,55
San Diego Open,San Diego,45,54
Stuttgart TMS,Stuttgart Masters,45,47
VTR Open,Vina del Mar,44,53
Hangzhou Open,Hangzhou,44,47
International German Open,Hamburg,38,47
U.S.Men's Clay Court Championships,Houston,37,52
Breil ATP,Milan,31,31
Heineken Trophy,'s-Hertogenbosch,31,31
Indesit ATP Milano Indoor ,Milan,31,31
Internazionali di Lombardia,Milan,31,31
Orange Prokom Open,Warsaw,31,31
Hamlet Cup,Long Island,29,31
Slazenger Open,Nottingham,29,31
Portugal Open,Estoril,28,53
ATP Buenos Aires 2004,Buenos Aires,28,31
ATP Buenos Aires 2005,Buenos Aires,28,31
Gelsor Open,Bucharest,28,31
Red Letter Days Open,Nottingham,28,31
Verizon Tennis Challenge,Atlanta,28,31
Forte Village Sardegna Open,Sardinia,27,27
Gijon Open,Gijon,27,27
Mifel Open,Los Cabos,27,27
Energis Open,Amersfoort,26,31
Next Generation Hardcourts,Adelaide,26,31
Vietnam Open,Ho Chi Minh City,26,31
AnyTech365 Andalucia Open,Marbella,26,27
Dusseldorf Open,Dusseldorf,26,27
LA Tennis Open,Los Angeles,26,27
Melbourne Summer Set,Melbourne,26,27
Sydney Tennis Classic,Sydney,26,27
Viking International,Eastbourne,26,27
Synsam Swedish Open,Bastad,25,31
Emilia-Romagna Open,Parma,25,27
Power Horse Cup,Dusseldorf,25,27
Royal Guard Open Chile,Vina del Mar,25,27
Singapore Open,Singapore,25,27
Srpska Open,Banja Luka,25,27
Tel Aviv Open,Tel Aviv,25,27
bett1HULKS Indoors,Cologne 1,25,27
Firenze Open,Florence,25,26
Dubai Duty Free Men's Open,Dubai,24,31
The Nottingham Open,Nottingham,24,31
Hellenic Championship,Athens,24,27
Tata Open,Pune,24,27
Zhuhai Open,Zhuhai,24,24
Hungarian Open,Budapest,23,27
Korea Open,Seoul,23,27
Sardegna Open,Cagliari,23,27
bett1HULKS Championship,Cologne 2,23,27
Colombia Open,Bogota,21,31
Napoli Cup,Naples,21,24
Zhuhai Championships,Zhuhai,20,26
